encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
france-croatia,2.2,3.02,4.25,1.96,3.29,4.85
belgium-england,2.17,3.94,3.27,2.23,3.65,3.36
croatia-england,3.9,2.99,2.33,3.73,3.19,2.28
france-belgium,2.6,3.19,3.1,2.61,3.15,3.09
russia-croatia,4.13,3.19,2.15,3.81,3.16,2.27
sweden-england,5.25,3.45,1.85,5.08,3.43,1.88
brazil-belgium,2.17,3.45,3.73,2.15,3.48,3.61
uruguay-france,4.8,3.13,2.03,4.02,3.2,2.14
colombia-england,4.19,3.16,2.15,3.78,3.16,2.28
sweden-switzerland,3.53,2.98,2.49,3.18,3.06,2.64
belgium-japan,1.44,4.7,8.71,1.33,5.3,12.18
brazil-mexico,1.49,4.5,7.9,1.49,4.44,8.06
croatia-denmark,2.04,3.24,4.5,1.88,3.24,5.31
spain-russia,1.63,4.03,6.3,1.53,4.07,7.54
uruguay-portugal,3.14,3.02,2.7,2.92,3,2.82
france-argentina,2.49,3.17,3.3,2.32,3.02,3.74
england-belgium,2.43,2.85,3.86,2.91,3.18,2.76
panama-tunisia,4.32,3.79,1.91,4.76,3.68,1.84
japan-poland,2.61,3.07,3.06,4.54,3.68,1.92
senegal-colombia,5.24,3.9,1.75,4.75,3.66,1.86
serbia-brazil,7.53,4.68,1.49,6.9,4.23,1.56
switzerland-costa-rica,1.63,3.63,7.3,1.74,3.65,5.89
mexico-sweden,2.25,3.43,3.51,2.47,3.31,3.2
south-korea-germany,19.5,8.5,1.17,14.05,8.47,1.2
iceland-croatia,4.19,4.13,1.83,3.17,3.42,2.4
nigeria-argentina,5.88,5.32,1.51,6.22,4.51,1.57
australia-peru,3.01,3.51,2.48,2.84,3.51,2.61
denmark-france,5.35,2.75,2.08,4.62,2.7,2.26
iran-portugal,6.41,4.14,1.61,6.2,3.62,1.72
spain-morocco,1.38,5.15,9.65,1.37,5.16,9.88
saudi-arabia-egypt,5.48,3.65,1.78,4.67,3.65,1.88
uruguay-russia,2.77,3.04,3.03,2.74,3.15,2.96
poland-colombia,3.49,3.39,2.28,2.81,3.13,2.81
japan-senegal,3.22,2.95,2.7,2.9,3.11,2.75
england-panama,1.23,6.32,18.06,1.25,6.02,16.01
germany-sweden,1.48,4.73,7.62,1.53,4.24,7.15
south-korea-mexico,5.53,3.82,1.73,4.13,3.36,2.04
belgium-tunisia,1.35,5.12,12,1.26,5.92,14.27
serbia-switzerland,2.71,3.07,3.06,2.9,3.18,2.71
nigeria-iceland,2.96,3.11,2.77,2.97,3.19,2.63
brazil-costa-rica,1.21,6.75,19.5,1.25,6.34,14.35
argentina-croatia,2.11,3.22,4.22,1.86,3.55,4.72
france-peru,1.63,3.99,6.46,1.37,4.92,10.31
denmark-australia,1.9,3.5,4.79,1.78,3.56,5.35
iran-spain,20.07,6.95,1.21,21.55,6.92,1.19
uruguay-saudi-arabia,1.22,6.72,18.5,1.26,5.79,15.05
portugal-morocco,1.71,3.66,6.1,1.52,4.1,7.79
russia-egypt,1.94,3.7,4.24,1.86,3.49,4.84
poland-senegal,2.54,3.1,3.3,2.17,3.27,3.86
colombia-japan,1.92,3.36,4.97,1.85,3.51,5.02
tunisia-england,8.6,4.21,1.5,13.15,5.85,1.28
belgium-panama,1.22,6.63,18.82,1.21,7.12,17.14
sweden-south-korea,2.25,3.09,3.97,2.19,3.33,3.74
brazil-switzerland,1.49,4.45,8.1,1.37,5.23,9.65
germany-mexico,1.52,4.69,6.8,1.63,4.12,5.95
costa-rica-serbia,5.39,3.45,1.83,4.02,3.26,2.13
croatia-nigeria,1.69,3.76,6.16,1.99,3.49,4.24
peru-denmark,3.67,3.15,2.33,3.66,3.39,2.19
argentina-iceland,1.33,5.44,11.98,1.47,4.45,8.5
france-australia,1.28,7.15,9.91,1.23,6.45,17.5
portugal-spain,4.36,3.25,2.07,4.74,3.67,1.85
morocco-iran,2.21,3.01,4.25,2.26,3.26,3.63
egypt-uruguay,8.82,4.05,1.52,6.59,4.38,1.55
russia-saudi-arabia,1.45,4.4,9.45,1.43,4.62,9.34
