encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
croatia-denmark,1.84,3.49,4.7,1.84,3.49,4.7
spain-russia,1.62,3.83,6.16,1.51,3.98,7.18
uruguay-portugal,2.78,2.91,2.95,2.71,3.18,2.71
france-argentina,2.23,3.33,3.42,2.23,3.33,3.42
england-belgium,2.71,3.19,2.71,2.75,3.16,2.41
panama-tunisia,4.24,4.04,1.76,3.26,3.12,2.2
japan-poland,2.44,3.08,3.15,4.09,3.4,1.84
senegal-colombia,4.24,3.71,1.83,3.79,3.33,1.93
serbia-brazil,5.47,4.52,1.54,8.4,4.71,1.35
switzerland-costa-rica,1.56,3.54,7.76,1.75,3.44,4.54
mexico-sweden,2.2,3.48,3.24,2.38,3.16,2.77
south-korea-germany,13.86,6.94,1.19,11.75,5.05,1.27
iceland-croatia,3.88,3.75,1.89,4.28,3.46,1.79
nigeria-argentina,5.47,4.52,1.54,6.79,3.99,1.47
australia-peru,2.68,3.57,2.51,3.3,3.24,2.12
denmark-france,3.27,3.34,2.12,5.5,3.74,1.58
iran-portugal,6.94,4.12,1.5,8.59,4.67,1.35
spain-morocco,1.23,6.12,12.97,1.35,4.7,8.45
saudi-arabia-egypt,7.1,3.45,1.61,5.01,3.48,1.69
uruguay-russia,2.97,3.25,2.45,2.33,3.16,2.97
poland-colombia,3.43,3.77,2.02,2.67,3.11,2.49
japan-senegal,3.46,3.53,2.08,2.77,3.06,2.44
england-panama,1.19,6.65,16.72,1.22,5.57,14.03
germany-sweden,1.4,4.71,7.91,1.5,4.06,5.94
south-korea-mexico,6.57,4.07,1.53,3.91,3.25,1.93
belgium-tunisia,1.25,5.54,13.24,1.27,5.27,11.07
serbia-switzerland,2.67,3.3,2.51,2.71,3.01,2.52
nigeria-iceland,2.78,3.22,2.62,2.75,3.05,2.46
brazil-costa-rica,1.2,6.33,16.3,1.24,5.66,11.86
argentina-croatia,1.82,3.54,4.12,1.75,3.44,4.53
france-peru,1.5,3.99,6.22,1.34,4.67,9.01
denmark-australia,1.87,3.41,4.45,1.75,3.41,4.68
iran-spain,16.25,5.95,1.19,16.48,5.94,1.19
uruguay-saudi-arabia,1.24,5.3,12.9,1.26,5.17,11.77
portugal-morocco,1.5,3.8,6.71,1.5,3.82,6.75
russia-egypt,1.9,3.28,3.98,1.79,3.31,4.49
poland-senegal,2.18,3.08,3.36,2.17,3.06,3.4
colombia-japan,1.68,3.48,5.09,1.74,3.3,4.92
tunisia-england,9.19,4.75,1.33,9.7,4.79,1.32
belgium-panama,1.14,6.77,21.85,1.19,6.12,15.25
sweden-south-korea,2.01,3.16,3.73,2.1,3.14,3.46
brazil-switzerland,1.36,4.61,8.45,1.35,4.65,8.63
germany-mexico,1.44,4.24,7.21,1.49,4.07,6.09
costa-rica-serbia,3.92,3.19,1.94,4.05,3.22,1.91
croatia-nigeria,1.79,3.33,4.52,1.84,3.32,4.25
peru-denmark,3.66,3.24,2,3.5,3.26,2.05
argentina-iceland,1.32,4.45,11.17,1.35,4.39,10.1
france-australia,1.2,5.62,16.34,1.2,5.73,15.89
portugal-spain,4.38,3.34,1.81,4.32,3.36,1.81
morocco-iran,2.2,2.95,3.48,2.21,2.97,3.4
egypt-uruguay,5.14,3.44,1.68,5.13,3.58,1.65
russia-saudi-arabia,1.32,4.5,10.82,1.33,4.5,10.48
