encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
france-croatia,2.14,3,4.33,1.9,3.4,4
belgium-england,2.25,3.8,3.2,2.3,3.5,2.9
croatia-england,3.9,3,2.3,3,3.2,2.37
france-belgium,2.6,3.1,3.1,2.6,3.2,2.7
russia-croatia,4,3.2,2.14,3.3,3.25,2.2
sweden-england,5.2,3.4,1.85,4.33,3.2,1.9
brazil-belgium,2.1,3.5,3.75,2,3.4,3.75
uruguay-france,4.9,3.1,2,3,3.4,2.3
colombia-england,4.2,3.1,2.14,4.2,3.3,1.9
sweden-switzerland,3.4,2.95,2.54,2.9,3,2.6
belgium-japan,1.4,4.8,9.5,1.44,4,8
brazil-mexico,1.5,4.4,7.5,1.44,4.2,7.5
croatia-denmark,1.95,3.3,4.75,1.8,3.6,4.33
spain-russia,1.57,4.2,6.5,1.44,4,8
uruguay-portugal,3.1,3,2.75,2.8,3.1,2.6
france-argentina,2.45,3.1,3.4,2,3.3,3.75
england-belgium,2.45,2.8,3.8,2.87,3.2,2.5
panama-tunisia,4.33,3.8,1.86,3.29,3.1,2.29
japan-poland,3,3.1,2.7,4,3.39,1.9
senegal-colombia,5,3.75,1.8,3.75,3.39,2
serbia-brazil,7.75,4.75,1.44,8.5,4.75,1.36
switzerland-costa-rica,1.6,3.8,7.5,1.8,3.5,4.5
mexico-sweden,2.2,3.4,3.6,2.5,3.2,2.87
south-korea-germany,19,8.5,1.16,12,5,1.28
iceland-croatia,4.33,4,1.83,4.33,3.5,1.83
nigeria-argentina,6,5.25,1.5,7,4,1.5
australia-peru,2.87,3.6,2.5,3.29,3.29,2.2
denmark-france,5.75,2.75,2.04,5.5,3.75,1.61
iran-portugal,6,4.1,1.61,8.5,4.75,1.36
spain-morocco,1.36,5.1,10.5,1.36,4.75,8.5
saudi-arabia-egypt,5.25,3.6,1.8,5,3.5,1.72
uruguay-russia,2.8,3.1,2.9,2.39,3.2,3
poland-colombia,3.6,3.5,2.14,2.89,3,2.6
japan-senegal,3.2,2.9,2.7,3,3,2.5
england-panama,1.22,6.5,19,1.25,5.5,12
germany-sweden,1.44,4.75,8,1.53,3.79,6.5
south-korea-mexico,5.5,3.9,1.7,3.75,3.25,2.04
belgium-tunisia,1.33,5.25,12,1.3,5,10
serbia-switzerland,2.8,3,3,3,2.89,2.6
nigeria-iceland,3,3.1,2.7,3,2.89,2.6
brazil-costa-rica,1.2,6.75,21,1.22,6,13
argentina-croatia,2.1,3.3,4,1.8,3.5,4.5
france-peru,1.61,3.9,6.5,1.39,4.2,9
denmark-australia,1.95,3.4,4.5,1.85,3.39,4.33
iran-spain,19,7,1.2,12,6,1.22
uruguay-saudi-arabia,1.2,7,19,1.3,5,10
portugal-morocco,1.7,3.75,5.75,1.61,3.6,6
russia-egypt,1.95,3.5,4.33,1.9,3.2,4.33
poland-senegal,2.54,3,3.3,2.25,3.2,3.2
colombia-japan,1.9,3.3,5,1.72,3.6,4.75
tunisia-england,8.5,4.2,1.5,7,4.33,1.44
belgium-panama,1.2,7,19,1.19,6.5,13
sweden-south-korea,2.25,3,4,2.25,3.2,3.2
brazil-switzerland,1.44,4.4,9,1.39,4.5,7.5
germany-mexico,1.5,4.5,7.5,1.53,4,6
costa-rica-serbia,5.5,3.4,1.83,4,3.39,1.9
croatia-nigeria,1.66,3.75,6.5,1.9,3.5,4
peru-denmark,3.75,3.1,2.3,3.39,3.2,2.2
argentina-iceland,1.33,5.5,11,1.44,4.4,7
france-australia,1.25,7.5,10.5,1.3,5.5,9
portugal-spain,4.5,3.25,2,4.09,3.39,1.9
morocco-iran,2.2,3,4.2,2.25,3.1,3.39
egypt-uruguay,9,4,1.5,5,3.79,1.66
russia-saudi-arabia,1.44,4.33,9.5,1.36,4.59,9
