encuentro,pais_a,pais_b,fecha,tipo,res_a,res_b
france-croatia,France,Croatia,15 Jul 2018  , Play Offs,4,2
belgium-england,Belgium,England,14 Jul 2018  , Play Offs,2,0
croatia-england,Croatia,England,11 Jul 2018  , Play Offs,2,1
france-belgium,France,Belgium,10 Jul 2018  , Play Offs,1,0
russia-croatia,Russia,Croatia,07 Jul 2018  , Play Offs,2,3
sweden-england,Sweden,England,07 Jul 2018  , Play Offs,0,2
brazil-belgium,Brazil,Belgium,06 Jul 2018  , Play Offs,1,2
uruguay-france,Uruguay,France,06 Jul 2018  , Play Offs,0,2
colombia-england,Colombia,England,03 Jul 2018  , Play Offs,1,2
sweden-switzerland,Sweden,Switzerland,03 Jul 2018  , Play Offs,1,0
belgium-japan,Belgium,Japan,02 Jul 2018  , Play Offs,3,2
brazil-mexico,Brazil,Mexico,02 Jul 2018  , Play Offs,2,0
croatia-denmark,Croatia,Denmark,01 Jul 2018  , Play Offs,2,1
spain-russia,Spain,Russia,01 Jul 2018  , Play Offs,1,2
uruguay-portugal,Uruguay,Portugal,30 Jun 2018  , Play Offs,2,1
france-argentina,France,Argentina,30 Jun 2018  , Play Offs,4,3
england-belgium,England,Belgium,28 Jun 2018 ,Groups,0,1
panama-tunisia,Panama,Tunisia,28 Jun 2018 ,Groups,1,2
japan-poland,Japan,Poland,28 Jun 2018 ,Groups,0,1
senegal-colombia,Senegal,Colombia,28 Jun 2018 ,Groups,0,1
serbia-brazil,Serbia,Brazil,27 Jun 2018 ,Groups,0,2
switzerland-costa-rica,Switzerland,Costa Rica,27 Jun 2018 ,Groups,2,2
mexico-sweden,Mexico,Sweden,27 Jun 2018 ,Groups,0,3
south-korea-germany,South Korea,Germany,27 Jun 2018 ,Groups,2,0
iceland-croatia,Iceland,Croatia,26 Jun 2018 ,Groups,1,2
nigeria-argentina,Nigeria,Argentina,26 Jun 2018 ,Groups,1,2
australia-peru,Australia,Peru,26 Jun 2018 ,Groups,0,2
denmark-france,Denmark,France,26 Jun 2018 ,Groups,0,0
iran-portugal,Iran,Portugal,25 Jun 2018 ,Groups,1,1
spain-morocco,Spain,Morocco,25 Jun 2018 ,Groups,2,2
saudi-arabia-egypt,Saudi Arabia,Egypt,25 Jun 2018 ,Groups,2,1
uruguay-russia,Uruguay,Russia,25 Jun 2018 ,Groups,3,0
poland-colombia,Poland,Colombia,24 Jun 2018 ,Groups,0,3
japan-senegal,Japan,Senegal,24 Jun 2018 ,Groups,2,2
england-panama,England,Panama,24 Jun 2018 ,Groups,6,1
germany-sweden,Germany,Sweden,23 Jun 2018 ,Groups,2,1
south-korea-mexico,South Korea,Mexico,23 Jun 2018 ,Groups,1,2
belgium-tunisia,Belgium,Tunisia,23 Jun 2018 ,Groups,5,2
serbia-switzerland,Serbia,Switzerland,22 Jun 2018 ,Groups,1,2
nigeria-iceland,Nigeria,Iceland,22 Jun 2018 ,Groups,2,0
brazil-costa-rica,Brazil,Costa Rica,22 Jun 2018 ,Groups,2,0
argentina-croatia,Argentina,Croatia,21 Jun 2018 ,Groups,0,3
france-peru,France,Peru,21 Jun 2018 ,Groups,1,0
denmark-australia,Denmark,Australia,21 Jun 2018 ,Groups,1,1
iran-spain,Iran,Spain,20 Jun 2018 ,Groups,0,1
uruguay-saudi-arabia,Uruguay,Saudi Arabia,20 Jun 2018 ,Groups,1,0
portugal-morocco,Portugal,Morocco,20 Jun 2018 ,Groups,1,0
russia-egypt,Russia,Egypt,19 Jun 2018 ,Groups,3,1
poland-senegal,Poland,Senegal,19 Jun 2018 ,Groups,1,2
colombia-japan,Colombia,Japan,19 Jun 2018 ,Groups,1,2
tunisia-england,Tunisia,England,18 Jun 2018 ,Groups,1,2
belgium-panama,Belgium,Panama,18 Jun 2018 ,Groups,3,0
sweden-south-korea,Sweden,South Korea,18 Jun 2018 ,Groups,1,0
brazil-switzerland,Brazil,Switzerland,17 Jun 2018 ,Groups,1,1
germany-mexico,Germany,Mexico,17 Jun 2018 ,Groups,0,1
costa-rica-serbia,Costa Rica,Serbia,17 Jun 2018 ,Groups,0,1
croatia-nigeria,Croatia,Nigeria,16 Jun 2018 ,Groups,2,0
peru-denmark,Peru,Denmark,16 Jun 2018 ,Groups,0,1
argentina-iceland,Argentina,Iceland,16 Jun 2018 ,Groups,1,1
france-australia,France,Australia,16 Jun 2018 ,Groups,2,1
portugal-spain,Portugal,Spain,15 Jun 2018 ,Groups,3,3
morocco-iran,Morocco,Iran,15 Jun 2018 ,Groups,0,1
egypt-uruguay,Egypt,Uruguay,15 Jun 2018 ,Groups,0,1
russia-saudi-arabia,Russia,Saudi Arabia,14 Jun 2018 ,Groups,5,0
