encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.69,3.21,2.89,2.85,3.11,2.79
croatia-morocco,2.38,3.52,3.07,2.33,3.58,3.11
france-morocco,1.56,4,7.2,1.55,3.94,7.7
argentina-croatia,1.99,3.13,4.75,1.82,3.35,5.4
england-france,2.97,3.12,2.69,3.23,3.21,2.44
morocco-portugal,5.7,3.74,1.7,5.4,3.77,1.72
netherlands-argentina,3.76,3.23,2.2,3.88,3.15,2.2
croatia-brazil,9,5,1.39,8.9,4.9,1.4
portugal-switzerland,1.93,3.45,4.5,1.88,3.45,4.8
morocco-spain,6.3,3.93,1.62,7.1,3.96,1.57
brazil-south-korea,1.29,5.9,12,1.26,6,13
japan-croatia,4,3.26,2.11,4.2,3.32,2.03
england-senegal,1.56,3.98,7.2,1.62,3.9,6.3
france-poland,1.34,5.4,10,1.3,5.5,12
argentina-australia,1.28,6.2,11,1.18,7.6,19
netherlands-usa,2.04,3.31,4.2,1.84,3.51,4.9
cameroon-brazil,8.5,5.2,1.39,9.4,5.4,1.35
serbia-switzerland,2.55,3.47,2.87,2.76,3.41,2.65
ghana-uruguay,4.33,3.84,1.86,5,3.63,1.8
south-korea-portugal,4.6,3.97,1.78,9.3,4.9,1.39
costa-rica-germany,21,11,1.12,11,5.6,1.31
japan-spain,7.2,4.7,1.48,10,5.7,1.32
canada-morocco,4.7,3.59,1.86,3.31,3.45,2.28
croatia-belgium,2.79,3.47,2.61,4,3.72,1.95
poland-argentina,8.2,4.6,1.45,5.1,3.87,1.73
saudi-arabia-mexico,5.5,4.3,1.63,6.5,4.2,1.57
australia-denmark,6.5,4.6,1.52,6.7,3.78,1.62
tunisia-france,6.5,4.3,1.56,14,5.9,1.26
iran-usa,4.3,3.55,1.94,3.55,3.45,2.18
wales-england,8.3,4.5,1.45,6.2,4.1,1.6
ecuador-senegal,2.5,3.19,3.13,2.99,3.23,2.57
netherlands-qatar,1.24,6.7,13,1.32,5.6,11
portugal-uruguay,1.99,3.33,4.4,2.15,3.41,3.64
brazil-switzerland,1.46,4.5,8.1,1.56,4.2,6.7
south-korea-ghana,2.61,3.02,3.15,2.76,2.93,3.04
cameroon-serbia,5.2,3.72,1.75,3.47,3.21,2.31
spain-germany,2.53,3.36,2.95,2.6,3.36,2.86
croatia-canada,2.26,3.3,3.5,1.78,3.81,4.8
belgium-morocco,1.95,3.45,4.4,1.56,4.3,6.4
japan-costa-rica,1.54,4,7.4,1.94,3.34,4.6
argentina-mexico,1.5,4.1,8.2,1.78,3.65,5.1
france-denmark,1.85,3.58,4.7,1.94,3.47,4.4
poland-saudi-arabia,1.79,3.51,5.3,1.74,3.81,5.1
tunisia-australia,2.19,3.36,3.6,2.86,3.07,2.81
england-usa,1.49,4.33,7.6,1.71,3.93,5.2
netherlands-ecuador,1.86,3.47,4.8,1.68,3.93,5.5
qatar-senegal,5.6,3.58,1.74,3.64,3.37,2.17
wales-iran,2.12,3.2,4,2.32,3.09,3.6
brazil-serbia,1.46,4.8,7.3,1.48,4.5,7.3
portugal-ghana,1.37,5.3,8.8,1.6,3.84,6.8
uruguay-south-korea,1.78,3.5,5.4,1.89,3.45,4.7
switzerland-cameroon,1.75,3.59,5.5,1.81,3.5,5.1
belgium-canada,1.58,4.3,6,1.32,5.6,11
spain-costa-rica,1.16,8.3,19,1.23,6.4,17
germany-japan,1.49,4.6,6.9,1.42,5,8
morocco-croatia,3.76,3.3,2.16,4.9,3.29,1.91
france-australia,1.25,6.6,12,1.19,7.5,17
mexico-poland,2.54,3.02,3.26,2.85,3.07,2.82
denmark-tunisia,1.6,3.83,6.8,1.44,4.6,8.4
argentina-saudi-arabia,1.13,9.8,23,1.21,6.7,17
usa-wales,2.54,3.08,3.18,2.69,3.07,3
senegal-netherlands,6.3,3.8,1.64,4.75,3.38,1.9
england-iran,1.38,4.6,11,1.3,5.5,12
qatar-ecuador,3.69,3.11,2.27,3.77,3.13,2.24
