encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.73,3.13,2.9,2.88,3.13,2.88
croatia-morocco,2.46,3.61,2.88,2.34,3.66,3.16
france-morocco,1.58,4.07,6.61,1.57,4.02,7.7
argentina-croatia,1.98,3.14,4.82,1.88,3.54,4.96
england-france,3.17,3.18,2.5,3.3,3.3,2.43
morocco-portugal,5.98,3.88,1.65,5.7,3.92,1.7
netherlands-argentina,4.14,3.17,2.11,3.7,3.38,2.22
croatia-brazil,8.9,4.92,1.43,8,4.82,1.46
portugal-switzerland,1.83,3.63,4.76,1.93,3.44,4.86
morocco-spain,6.13,3.83,1.65,7,4.14,1.58
brazil-south-korea,1.22,7.1,14.2,1.28,6.15,14.5
japan-croatia,3.9,3.34,2.1,4.22,3.42,2.06
england-senegal,1.64,3.69,6.66,1.65,3.78,6.8
france-poland,1.4,4.86,9.21,1.29,5.95,13.5
argentina-australia,1.32,6.17,9.25,1.22,7.1,17
netherlands-usa,1.96,3.38,4.44,2,3.4,4.52
cameroon-brazil,8.27,5.36,1.38,9.3,5.3,1.34
serbia-switzerland,2.61,3.37,2.86,2.75,3.44,2.5
ghana-uruguay,4.16,3.89,1.88,5.65,3.6,1.69
south-korea-portugal,4.3,3.89,1.85,7.9,4.3,1.46
costa-rica-germany,23,11,1.09,11.5,5.5,1.28
japan-spain,7.8,4.62,1.46,9.7,5.5,1.31
canada-morocco,5.32,3.46,1.81,3.24,3.2,2.32
croatia-belgium,3.05,3.46,2.42,4.24,3.5,1.89
poland-argentina,7.83,4.6,1.46,4.9,3.8,1.72
saudi-arabia-mexico,5.08,4.3,1.66,5.8,4.3,1.57
australia-denmark,6.52,5.13,1.46,4.96,3.6,1.55
tunisia-france,6.62,3.89,1.61,11,6.5,1.24
iran-usa,3.91,3.49,2.05,3.72,3.2,2.12
wales-england,10,4.44,1.42,5.9,3.74,1.55
ecuador-senegal,2.5,3.06,3.31,2.95,3.15,2.52
netherlands-qatar,1.2,7.42,15.9,1.29,5.6,10.5
portugal-uruguay,1.94,3.36,4.58,2.07,3.24,3.74
brazil-switzerland,1.49,4.23,8.03,1.51,4,6.9
south-korea-ghana,2.8,3.16,2.8,2.75,2.8,3
cameroon-serbia,5.67,3.87,1.68,3.6,2.9,2.32
spain-germany,2.54,3.56,2.8,2.6,3.24,2.75
croatia-canada,2.12,3.27,3.96,1.77,3.6,4.72
belgium-morocco,1.86,3.61,4.61,1.51,4,6.9
japan-costa-rica,1.48,4.43,7.67,2.52,2.88,3.2
argentina-mexico,1.52,4.05,7.97,1.75,3.5,4.92
france-denmark,1.77,3.69,5.18,1.87,3.3,4.54
poland-saudi-arabia,1.74,3.69,5.38,1.67,3.7,5.4
tunisia-australia,2.18,3.35,3.65,2.62,2.8,2.5
england-usa,1.46,4.29,8.69,1.67,3.74,5.4
netherlands-ecuador,1.82,3.45,5.23,1.67,3.7,5.4
qatar-senegal,5.59,3.66,1.73,3.72,3.2,2.12
wales-iran,2.03,3.26,4.31,2.12,3.1,3.88
brazil-serbia,1.46,4.48,8.13,1.48,4.4,6.9
portugal-ghana,1.34,5.64,9.68,1.5,4.3,6.6
uruguay-south-korea,1.8,3.59,5.13,1.87,3.5,4.34
switzerland-cameroon,1.83,3.46,5.09,1.84,3.44,5.3
belgium-canada,1.58,4.07,6.5,1.32,5.3,9.7
spain-costa-rica,1.17,8.99,16.2,1.26,5.5,11.5
germany-japan,1.44,4.82,7.8,1.35,5.1,8.8
morocco-croatia,3.88,3.3,2.13,4.72,3.6,1.79
france-australia,1.22,7.28,13.5,1.21,5,9
mexico-poland,2.48,3.14,3.24,2.84,3.13,2.83
denmark-tunisia,1.56,4.09,6.89,1.44,4.4,7.9
argentina-saudi-arabia,1.12,9.8,29,1.24,6.65,16
usa-wales,2.48,3.14,3.24,2.6,3.1,2.9
senegal-netherlands,6.28,3.7,1.66,5.35,3.62,1.79
england-iran,1.4,4.84,9.15,1.34,5.3,12
qatar-ecuador,3.84,3.07,2.25,4.22,3.18,2.13
