encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.68,3.2,2.88,2.85,3.11,2.79
croatia-morocco,2.37,3.51,3.07,2.33,3.57,3.1
france-morocco,1.58,3.92,7,1.56,3.93,7.3
argentina-croatia,1.97,3.15,4.8,1.82,3.35,5.4
england-france,2.96,3.11,2.68,3.23,3.21,2.44
morocco-portugal,5.7,3.65,1.72,5.7,3.84,1.67
netherlands-argentina,3.75,3.23,2.19,3.87,3.14,2.2
croatia-brazil,9,4.9,1.39,8.9,4.9,1.4
portugal-switzerland,1.96,3.41,4.4,1.88,3.41,4.8
morocco-spain,6.2,3.92,1.62,7.1,3.95,1.57
brazil-south-korea,1.29,5.8,12,1.26,6,13
japan-croatia,4,3.25,2.1,4.2,3.31,2.03
england-senegal,1.56,3.97,7.1,1.62,3.9,6.3
france-poland,1.33,5.4,10,1.29,5.6,13
argentina-australia,1.28,6.2,11,1.18,7.6,19
netherlands-usa,2.08,3.29,4,1.84,3.51,4.9
cameroon-brazil,8.4,5.1,1.39,14,6.5,1.24
serbia-switzerland,2.54,3.45,2.86,2.69,3.36,2.75
ghana-uruguay,4.3,3.83,1.85,5.2,3.61,1.78
south-korea-portugal,4.6,3.96,1.78,6,4.4,1.57
costa-rica-germany,21,11,1.12,13,6.3,1.25
japan-spain,7.1,4.7,1.47,7,4.8,1.47
canada-morocco,4.7,3.58,1.86,3.19,3.4,2.36
croatia-belgium,2.78,3.45,2.61,3.29,3.36,2.33
poland-argentina,8.1,4.6,1.45,6.9,4.1,1.55
saudi-arabia-mexico,5.5,4.3,1.63,5.3,3.79,1.72
australia-denmark,6.5,4.6,1.51,6.7,4.4,1.52
tunisia-france,6.5,4.2,1.56,10,5,1.36
iran-usa,4.3,3.55,1.94,4.5,3.68,1.86
wales-england,8.3,4.5,1.45,7.1,4.2,1.53
ecuador-senegal,2.5,3.19,3.13,2.79,3.29,2.71
netherlands-qatar,1.24,6.7,13,1.18,6.9,26
portugal-uruguay,2.01,3.33,4.3,2.14,3.45,3.65
brazil-switzerland,1.46,4.5,8.1,1.47,4.6,7.6
south-korea-ghana,2.61,3.02,3.15,2.56,3.11,3.13
cameroon-serbia,5.2,3.72,1.75,5.3,3.61,1.77
spain-germany,2.53,3.36,2.95,2.52,3.5,2.86
croatia-canada,2.26,3.3,3.5,1.74,3.8,5.1
belgium-morocco,1.95,3.45,4.4,1.61,4.2,5.9
japan-costa-rica,1.54,4,7.4,1.68,3.76,5.9
argentina-mexico,1.49,4.2,8.1,1.61,3.91,6.5
france-denmark,1.85,3.58,4.7,2.03,3.35,4.2
poland-saudi-arabia,1.79,3.51,5.3,1.79,3.74,4.9
tunisia-australia,2.19,3.36,3.6,2.25,3.16,3.7
england-usa,1.49,4.33,7.6,1.58,4.2,6.2
netherlands-ecuador,1.86,3.47,4.8,1.82,3.62,4.8
qatar-senegal,5.6,3.58,1.74,6.2,3.73,1.66
wales-iran,2.12,3.2,4,2.14,3.14,4.1
brazil-serbia,1.46,4.8,7.3,1.51,4.5,6.8
portugal-ghana,1.37,5.3,8.8,1.38,4.8,9.8
uruguay-south-korea,1.78,3.5,5.4,1.76,3.55,5.5
switzerland-cameroon,1.75,3.59,5.5,1.75,3.59,5.5
belgium-canada,1.58,4.3,6,1.53,4.5,6.5
spain-costa-rica,1.16,8.3,19,1.18,7.6,21
germany-japan,1.49,4.6,6.9,1.46,4.8,7.2
morocco-croatia,3.76,3.3,2.16,3.82,3.2,2.18
