encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.67,3.2,3.04,2.83,3.09,2.86
croatia-morocco,2.29,3.7,3.2,2.33,3.53,3.13
france-morocco,1.64,3.8,6.73,1.54,3.99,7.72
argentina-croatia,2.08,3.1,4.76,1.88,3.35,5.39
england-france,2.96,3.14,2.73,3.28,3.24,2.41
morocco-portugal,6.61,4,1.61,5.79,3.8,1.68
netherlands-argentina,3.63,3.16,2.34,3.69,3.17,2.23
croatia-brazil,8.35,4.77,1.42,9.11,4.95,1.38
portugal-switzerland,1.99,3.62,4.07,1.88,3.49,4.71
morocco-spain,6.25,3.9,1.64,7.26,3.98,1.54
brazil-south-korea,1.25,6.6,13,1.26,6.18,12.87
japan-croatia,4.01,3.31,2.13,4.1,3.27,2.09
england-senegal,1.64,3.85,6.8,1.57,3.8,7.43
france-poland,1.4,4.95,9.5,1.27,5.89,13.09
argentina-australia,1.3,6.9,9.4,1.18,7.26,20.05
netherlands-usa,1.89,3.55,4.88,1.88,3.37,4.92
cameroon-brazil,8.75,5.5,1.36,11.47,5.75,1.29
serbia-switzerland,2.56,3.53,2.92,2.7,3.2,2.67
ghana-uruguay,4.82,3.9,1.81,4.88,3.41,1.78
south-korea-portugal,4.25,3.82,1.9,6.56,4.38,1.51
costa-rica-germany,25,12,1.11,13.96,5.61,1.25
japan-spain,6.65,4.5,1.54,7.72,4.48,1.46
canada-morocco,4.88,3.56,1.87,2.76,3.33,2.58
croatia-belgium,3.19,3.45,2.42,3.43,3.27,2.17
poland-argentina,8.4,4.7,1.46,5.31,3.76,1.65
saudi-arabia-mexico,5.7,4.4,1.62,5.95,3.83,1.62
australia-denmark,7.6,5.05,1.46,5.85,4.2,1.52
tunisia-france,6.2,4,1.62,10.36,5.03,1.31
iran-usa,4.55,3.55,1.96,3.81,3.27,2.04
wales-england,8.55,4.55,1.46,5.92,3.85,1.57
ecuador-senegal,2.49,3.15,3.33,2.71,3.25,2.63
netherlands-qatar,1.21,7.5,15,1.27,5.53,11.08
portugal-uruguay,1.97,3.45,4.71,2.1,3.26,3.65
brazil-switzerland,1.51,4.3,8,1.49,4.18,6.4
south-korea-ghana,2.87,3.14,2.83,2.58,2.96,3.03
cameroon-serbia,5.6,3.95,1.72,3.61,2.95,2.27
spain-germany,2.56,3.45,2.95,2.52,3.36,2.77
croatia-canada,2.31,3.32,3.53,1.78,3.64,4.43
belgium-morocco,2,3.4,4.46,1.55,4.01,5.88
japan-costa-rica,1.49,4.4,8,2.42,2.86,3.41
argentina-mexico,1.6,4,6.5,1.66,3.67,5.3
france-denmark,1.86,3.6,4.93,1.9,3.41,4.16
poland-saudi-arabia,1.71,3.8,5.75,1.68,3.8,4.9
tunisia-australia,2.23,3.55,3.45,2.8,2.95,2.79
england-usa,1.5,4.34,8,1.68,3.81,4.91
netherlands-ecuador,1.9,3.4,4.93,1.69,3.79,4.84
qatar-senegal,5.31,3.63,1.79,4.25,3.26,1.94
wales-iran,2.23,3.2,3.87,2.09,3.21,3.77
brazil-serbia,1.51,4.65,7,1.45,4.3,6.96
portugal-ghana,1.32,5.8,11,1.48,4.04,6.95
uruguay-south-korea,1.8,3.6,5.33,1.84,3.34,4.58
switzerland-cameroon,1.83,3.54,5.18,1.77,3.39,4.95
belgium-canada,1.63,4.2,5.69,1.25,5.63,11.24
spain-costa-rica,1.15,9.5,21.5,1.22,6.5,17.63
germany-japan,1.44,5.2,7.35,1.39,4.7,7.53
morocco-croatia,3.64,3.31,2.29,5.23,3.34,1.75
france-australia,1.22,7.5,15,1.2,6,12.5
mexico-poland,2.5,3.18,3.23,2.79,3,2.76
denmark-tunisia,1.6,3.95,6.7,1.46,4.12,7.15
argentina-saudi-arabia,1.13,10.5,28,1.18,6.46,15.21
usa-wales,2.54,3.14,3.23,2.45,3.15,2.81
senegal-netherlands,6.2,3.66,1.7,5.05,3.44,1.75
england-iran,1.37,4.7,11.75,1.26,5.37,11.66
qatar-ecuador,3.9,3.19,2.21,3.66,3.16,2.13
