encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.66,3.19,2.94,2.89,3.1,2.77
croatia-morocco,2.34,3.5,3.17,2.34,3.65,3.05
france-morocco,1.65,3.71,6.55,1.58,3.95,6.72
argentina-croatia,2.01,3.1,4.8,1.89,3.33,5.03
england-france,2.95,3.13,2.69,3.18,3.34,2.37
morocco-portugal,6.38,3.77,1.65,5.78,3.82,1.67
netherlands-argentina,3.62,3.15,2.29,3.73,3.19,2.21
croatia-brazil,8.85,4.86,1.41,8.61,4.76,1.41
portugal-switzerland,1.89,3.69,4.4,1.88,3.44,4.72
morocco-spain,6.21,3.91,1.63,7.02,4.1,1.54
brazil-south-korea,1.25,6.62,12.81,1.26,6.12,12.52
japan-croatia,3.72,3.33,2.17,3.98,3.48,2.01
england-senegal,1.6,3.85,6.92,1.51,4.04,7.95
france-poland,1.39,5.02,8.91,1.28,5.72,12.25
argentina-australia,1.3,6.39,9.73,1.2,7.03,17.77
netherlands-usa,1.86,3.49,4.85,1.88,3.35,4.86
cameroon-brazil,8.47,5.41,1.38,11.1,5.71,1.27
serbia-switzerland,2.58,3.37,2.9,2.72,3.2,2.7
ghana-uruguay,4.72,3.91,1.78,4.91,3.45,1.8
south-korea-portugal,4.46,3.88,1.83,6.94,4.49,1.46
costa-rica-germany,19.93,12.4,1.08,12.32,6.04,1.24
japan-spain,7.49,4.63,1.47,7.5,4.89,1.4
canada-morocco,4.84,3.55,1.85,3.01,3.32,2.4
croatia-belgium,3.1,3.42,2.41,3.72,3.42,2.05
poland-argentina,7.52,4.69,1.46,5.33,3.76,1.68
saudi-arabia-mexico,5.44,4.39,1.62,5.92,3.99,1.59
australia-denmark,7.35,5.07,1.44,6.02,4.2,1.55
tunisia-france,6.51,4.07,1.59,10.7,5.28,1.3
iran-usa,4.41,3.53,1.93,3.83,3.42,2.01
wales-england,8.66,4.44,1.45,5.96,3.88,1.6
ecuador-senegal,2.42,3.13,3.36,2.61,3.24,2.79
netherlands-qatar,1.22,7.16,14.4,1.26,5.85,11.38
portugal-uruguay,1.95,3.38,4.54,2.03,3.4,4.1
brazil-switzerland,1.49,4.36,7.9,1.56,4.25,6.54
south-korea-ghana,2.8,3.07,2.89,2.62,3.06,3.11
cameroon-serbia,5.38,3.75,1.73,3.67,3.06,2.32
spain-germany,2.6,3.39,2.86,2.59,3.48,2.79
croatia-canada,2.19,3.33,3.68,1.84,3.68,4.67
belgium-morocco,1.83,3.58,4.92,1.61,4.11,5.95
japan-costa-rica,1.5,4.3,7.64,2.44,3.19,3.25
argentina-mexico,1.55,4.06,7.32,1.74,3.72,5.33
france-denmark,1.78,3.69,5.1,1.89,3.6,4.47
poland-saudi-arabia,1.75,3.75,5.26,1.75,3.73,5.24
tunisia-australia,2.25,3.39,3.45,2.82,3.13,2.81
england-usa,1.47,4.41,8.11,1.73,3.83,5.19
netherlands-ecuador,1.81,3.54,5.18,1.72,3.96,5.09
qatar-senegal,5.3,3.61,1.77,4.2,3.39,2.01
wales-iran,2.1,3.2,4.16,2.26,3.3,3.5
brazil-serbia,1.44,4.83,7.71,1.49,4.56,7.14
portugal-ghana,1.31,5.79,10.63,1.48,4.36,7.96
uruguay-south-korea,1.78,3.56,5.36,1.76,3.57,5.5
switzerland-cameroon,1.84,3.47,5.07,1.81,3.45,5.25
belgium-canada,1.61,4.25,5.85,1.32,5.43,10.98
spain-costa-rica,1.17,8.6,17.56,1.28,5.83,11.81
germany-japan,1.44,4.99,7.35,1.37,5.27,8.8
morocco-croatia,3.63,3.27,2.23,4.67,3.42,1.91
france-australia,1.22,7.25,13.75,1.25,6.19,13.29
mexico-poland,2.52,3.15,3.17,2.65,3.13,2.99
denmark-tunisia,1.59,3.93,6.91,1.5,4.3,7.6
argentina-saudi-arabia,1.12,9.98,29.48,1.21,6.92,17.01
usa-wales,2.49,3.13,3.24,2.56,3.22,2.99
senegal-netherlands,6.78,3.89,1.6,5.31,3.61,1.77
england-iran,1.35,4.86,12.05,1.32,5.37,11.74
qatar-ecuador,3.69,3.18,2.25,3.69,3.29,2.19
