encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.71,3.25,2.92,2.88,3.14,2.82
croatia-morocco,2.4,3.56,3.1,2.35,3.62,3.14
france-morocco,1.59,3.99,7.1,1.6,3.86,7.4
argentina-croatia,1.99,3.19,4.9,1.84,3.39,5.5
england-france,2.99,3.15,2.71,3.27,3.25,2.46
morocco-portugal,5.8,3.79,1.71,5.5,3.82,1.74
netherlands-argentina,3.8,3.27,2.22,3.92,3.18,2.22
croatia-brazil,9.2,5,1.4,9.1,5,1.41
portugal-switzerland,1.95,3.47,4.6,1.9,3.47,4.9
morocco-spain,6.4,3.98,1.64,7.2,4,1.58
brazil-south-korea,1.3,6,12,1.27,6.2,14
japan-croatia,4.1,3.29,2.12,4.3,3.35,2.04
england-senegal,1.58,4,7.3,1.59,3.87,7.6
france-poland,1.34,5.5,11,1.31,5.6,13
argentina-australia,1.29,6.3,12,1.18,7.9,21
netherlands-usa,2.1,3.33,4.1,1.86,3.56,4.9
cameroon-brazil,8.6,5.2,1.4,9.6,5.5,1.36
serbia-switzerland,2.57,3.5,2.9,2.89,3.47,2.59
ghana-uruguay,4.4,3.89,1.87,5.1,3.68,1.82
south-korea-portugal,4.7,4,1.8,9.6,5,1.39
costa-rica-germany,23,11,1.13,11,5.7,1.32
japan-spain,7.3,4.75,1.49,10,5.8,1.33
canada-morocco,4.7,3.63,1.88,3.36,3.36,2.36
croatia-belgium,2.82,3.5,2.64,4.1,3.77,1.97
poland-argentina,8.3,4.7,1.46,5.2,3.93,1.74
saudi-arabia-mexico,5.6,4.33,1.64,6.6,4.2,1.58
australia-denmark,6.6,4.7,1.53,6.8,3.85,1.63
tunisia-france,7.5,4.6,1.5,15,6,1.27
iran-usa,4.33,3.59,1.96,3.55,3.47,2.22
wales-england,8.5,4.6,1.46,6.3,4,1.63
ecuador-senegal,2.53,3.23,3.17,3.03,3.25,2.61
netherlands-qatar,1.25,6.9,13,1.33,5.7,11
portugal-uruguay,2.01,3.38,4.4,2.17,3.47,3.69
brazil-switzerland,1.47,4.5,8.3,1.57,4.2,6.8
south-korea-ghana,2.64,3.06,3.19,2.79,2.97,3.08
cameroon-serbia,5.3,3.78,1.77,3.53,3.25,2.33
spain-germany,2.56,3.41,2.99,2.63,3.4,2.89
croatia-canada,2.28,3.34,3.55,1.79,3.87,4.9
belgium-morocco,1.96,3.5,4.4,1.57,4.33,6.6
japan-costa-rica,1.55,4.1,7.5,1.95,3.39,4.7
argentina-mexico,1.5,4.3,8.3,1.79,3.7,5.2
france-denmark,1.87,3.63,4.8,1.95,3.52,4.5
poland-saudi-arabia,1.8,3.56,5.4,1.75,3.87,5.2
tunisia-australia,2.21,3.4,3.65,2.89,3.1,2.84
england-usa,1.5,4.4,7.7,1.72,3.99,5.3
netherlands-ecuador,1.88,3.53,4.9,1.7,3.99,5.5
qatar-senegal,5.7,3.63,1.75,3.69,3.41,2.19
wales-iran,2.14,3.23,4.1,2.35,3.13,3.65
brazil-serbia,1.47,4.9,7.4,1.49,4.6,7.5
portugal-ghana,1.38,5.4,9,1.61,3.91,6.9
uruguay-south-korea,1.82,3.51,5.4,1.86,3.68,4.75
switzerland-cameroon,1.76,3.64,5.6,1.83,3.55,5.2
belgium-canada,1.59,4.4,6.2,1.33,5.7,11
spain-costa-rica,1.17,8.6,21,1.24,6.6,17
germany-japan,1.5,4.7,7,1.43,5.1,8.2
morocco-croatia,3.81,3.34,2.18,5,3.33,1.93
france-australia,1.26,6.8,13,1.2,7.8,19
mexico-poland,2.57,3.05,3.3,2.88,3.1,2.85
denmark-tunisia,1.62,3.89,6.9,1.51,4.4,7.7
argentina-saudi-arabia,1.13,10,26,1.22,6.9,17
usa-wales,2.57,3.12,3.23,2.72,3.1,3.03
senegal-netherlands,6.4,3.86,1.65,4.8,3.45,1.92
england-iran,1.39,4.75,11,1.31,5.6,13
qatar-ecuador,3.74,3.15,2.3,3.82,3.17,2.26
