encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.6,3.15,2.9,2.8,3.05,2.8
croatia-morocco,2.25,3.55,3.15,2.48,3.3,3.1
france-morocco,1.6,3.8,6.25,1.56,3.95,7
argentina-croatia,2,3.1,4.3,1.85,3.35,5
england-france,2.85,3.05,2.7,3.15,3.3,2.39
morocco-portugal,6.25,3.85,1.6,5.4,3.7,1.71
netherlands-argentina,3.65,3,2.25,3.55,3.25,2.22
croatia-brazil,8.6,4.8,1.42,8.2,4.7,1.42
portugal-switzerland,1.9,3.4,4.25,1.93,3.5,4.2
morocco-spain,6,3.75,1.6,8,3.9,1.51
brazil-south-korea,1.2,6.5,15,1.25,6.2,14
japan-croatia,3.8,3.25,2.1,4.2,3.5,1.95
england-senegal,1.6,3.7,6.5,1.6,3.6,7.2
france-poland,1.4,4.85,7.5,1.31,5.6,11
argentina-australia,1.27,5.8,11.5,1.19,7.4,20
netherlands-usa,1.9,3.3,4.65,1.95,3.4,4.3
cameroon-brazil,9.75,5.6,1.32,14,6.6,1.21
serbia-switzerland,2.55,3.3,2.85,2.6,3.25,2.8
ghana-uruguay,4.6,3.85,1.8,4.6,3.6,1.8
south-korea-portugal,4.3,3.75,1.85,6,4.2,1.56
costa-rica-germany,35,12,1.08,26,11,1.1
japan-spain,7.25,4.3,1.5,9.6,5.4,1.33
canada-morocco,4.85,3.45,1.85,2.9,3.3,2.47
croatia-belgium,3.05,3.4,2.35,3.05,3.4,2.33
poland-argentina,8.75,4.45,1.42,6.4,4.1,1.55
saudi-arabia-mexico,5.8,4.15,1.6,5.2,3.65,1.71
australia-denmark,8,4.7,1.42,7.4,4.5,1.46
tunisia-france,5.9,3.95,1.6,9.8,5,1.34
iran-usa,4.2,3.65,1.9,4.5,3.55,1.86
wales-england,7.75,4.5,1.45,6.6,4.2,1.54
ecuador-senegal,2.45,3.1,3.25,2.8,3.15,2.65
netherlands-qatar,1.22,7,13.5,1.16,7.8,20
portugal-uruguay,1.95,3.4,4.4,2.15,3.3,3.55
brazil-switzerland,1.5,4.25,7.25,1.5,4.4,6.8
south-korea-ghana,2.75,3.15,2.8,2.6,3.05,3.05
cameroon-serbia,5.2,3.85,1.7,4.8,3.6,1.81
spain-germany,2.6,3.25,2.9,2.55,3.35,2.8
croatia-canada,2.3,3.15,3.55,1.77,3.65,4.7
belgium-morocco,1.9,3.4,4.65,1.6,4,5.6
japan-costa-rica,1.47,4.35,7.5,1.66,3.7,5.6
argentina-mexico,1.6,3.8,6.75,1.52,4.1,7
france-denmark,1.85,3.5,4.85,2.01,3.3,3.95
poland-saudi-arabia,1.7,3.65,5.6,1.65,3.7,5.8
tunisia-australia,2.2,3.25,3.65,2.6,3.15,2.85
england-usa,1.5,4.1,7.75,1.6,3.9,6
netherlands-ecuador,1.85,3.45,4.75,1.61,3.9,5.8
qatar-senegal,5.3,3.65,1.75,3.5,3.2,2.22
wales-iran,2.2,3.2,3.75,2.37,3.1,3.4
brazil-serbia,1.47,4.65,7,1.47,4.6,7
portugal-ghana,1.3,5.7,11,1.41,4.6,9
uruguay-south-korea,1.75,3.55,5.2,1.78,3.45,5
switzerland-cameroon,1.8,3.6,4.85,1.73,3.5,5.6
belgium-canada,1.6,4.25,5.5,1.48,4.5,6.6
spain-costa-rica,1.15,8.5,21,1.15,7.4,21
germany-japan,1.45,4.75,7.25,1.5,4.5,6.2
morocco-croatia,3.45,3.3,2.25,4.2,3.3,1.95
france-australia,1.2,7,15,1.24,6.2,12
mexico-poland,2.45,3.1,3.2,2.7,3.1,2.85
denmark-tunisia,1.6,3.95,6,1.48,4.3,7.6
argentina-saudi-arabia,1.12,8.5,26,1.17,7.4,19
usa-wales,2.5,3.1,3.15,2.65,3.1,2.95
senegal-netherlands,5.8,3.7,1.7,6.2,3.95,1.61
england-iran,1.37,4.55,10,1.34,4.8,11
qatar-ecuador,3.8,3.05,2.2,3.35,3.25,2.27
