encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.7,3.2,2.9,2.9,3,2.85
croatia-morocco,2.17,3.55,3.55,2.4,3.45,3.1
france-morocco,1.6,3.85,7,1.56,4.1,7
argentina-croatia,2.02,3.15,4.75,1.83,3.45,5.3
england-france,2.95,3.1,2.75,3.4,3.45,2.28
morocco-portugal,6.75,3.95,1.6,5.6,4,1.67
netherlands-argentina,3.8,3.15,2.25,3.65,3.45,2.16
croatia-brazil,9,4.7,1.43,8,5,1.42
portugal-switzerland,1.86,3.65,4.6,1.83,3.75,4.75
morocco-spain,6.25,3.95,1.64,7.5,4.6,1.48
brazil-south-korea,1.27,6,14,1.28,6.1,12.5
japan-croatia,3.95,3.3,2.14,4.9,3.85,1.79
england-senegal,1.63,3.75,7,1.6,4.2,6.1
france-poland,1.38,5,9.5,1.27,6.25,13
argentina-australia,1.3,6.4,10.5,1.2,7.5,18
netherlands-usa,2,3.35,4.35,1.86,3.8,4.5
cameroon-brazil,9.5,5.3,1.37,14,6.1,1.25
serbia-switzerland,2.55,3.4,2.95,2.85,3.3,2.65
ghana-uruguay,4.5,3.8,1.85,4.6,3.55,1.87
south-korea-portugal,4.5,3.95,1.82,6.5,4,1.58
costa-rica-germany,31,12,1.1,15,6.4,1.23
japan-spain,8,4.9,1.44,8,4.6,1.44
canada-morocco,4.75,3.6,1.86,3.4,3.3,2.25
croatia-belgium,3.1,3.55,2.4,3.6,3.4,2.16
poland-argentina,8.5,4.7,1.44,6,4.25,1.57
saudi-arabia-mexico,5.5,4.5,1.61,5.3,3.75,1.72
australia-denmark,8,4.75,1.45,8,4.7,1.44
tunisia-france,6.1,3.9,1.65,17,7.5,1.19
iran-usa,4.35,3.55,1.95,4,3.6,1.96
wales-england,9.5,4.5,1.44,7,4.5,1.48
ecuador-senegal,2.45,3.1,3.35,2.75,3.45,2.63
netherlands-qatar,1.24,6.4,16,1.35,5.3,9
portugal-uruguay,1.95,3.5,4.4,1.91,3.65,4.2
brazil-switzerland,1.49,4.3,8.5,1.46,4.7,7.5
south-korea-ghana,2.8,3.2,2.85,2.7,3.4,2.7
cameroon-serbia,5.75,3.75,1.71,4.3,3.7,1.87
spain-germany,2.55,3.4,2.9,2.7,3.55,2.6
croatia-canada,2.25,3.3,3.6,1.76,3.85,4.8
belgium-morocco,1.88,3.5,4.9,1.49,4.5,7
japan-costa-rica,1.52,4.3,7.5,1.64,4,5.6
argentina-mexico,1.58,3.85,7.5,1.48,4.5,7
france-denmark,1.84,3.6,4.9,1.83,3.75,4.5
poland-saudi-arabia,1.73,3.65,5.75,1.67,4,5.3
tunisia-australia,2.23,3.35,3.6,2.8,3.45,2.55
england-usa,1.47,4.4,8.5,1.53,4.35,6.75
netherlands-ecuador,1.81,3.55,5.2,1.56,4.4,5.8
qatar-senegal,6,3.6,1.73,3.75,3.5,2.07
wales-iran,2.14,3.2,4.1,2.2,3.3,3.55
brazil-serbia,1.49,4.7,7,1.55,3.9,6.75
portugal-ghana,1.32,5.75,11,1.55,3.8,7
uruguay-south-korea,1.8,3.6,5.25,1.75,3.45,5.25
switzerland-cameroon,1.88,3.45,4.9,1.85,3.3,4.85
belgium-canada,1.52,4.6,6.75,1.3,5.25,11
spain-costa-rica,1.16,8.5,21,1.25,6.5,10.5
germany-japan,1.46,4.9,7.5,1.4,4.5,8.75
morocco-croatia,3.7,3.3,2.23,4.5,3.05,2
france-australia,1.25,6.5,14,1.2,7.25,13
mexico-poland,2.55,3.15,3.15,2.6,3.3,2.75
denmark-tunisia,1.58,3.9,7.5,1.5,3.85,8
argentina-saudi-arabia,1.14,9,30,1.25,6.75,10
usa-wales,2.4,3.15,3.45,2.8,3.3,2.55
senegal-netherlands,6.25,3.75,1.67,5,3.6,1.75
england-iran,1.4,4.5,10,1.35,5,9
qatar-ecuador,3.95,3.2,2.14,5.5,3.55,1.7
