encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.69,3.21,2.89,2.85,3.11,2.79
croatia-morocco,2.38,3.52,3.07,2.33,3.58,3.11
france-morocco,1.58,3.93,7,1.55,3.94,7.7
argentina-croatia,1.97,3.16,4.8,1.82,3.35,5.4
england-france,2.97,3.12,2.69,3.23,3.21,2.44
morocco-portugal,5.7,3.74,1.7,5.8,3.85,1.68
netherlands-argentina,3.76,3.23,2.2,3.88,3.15,2.2
croatia-brazil,9,5,1.39,8.9,4.9,1.4
portugal-switzerland,1.93,3.45,4.5,1.88,3.45,4.8
morocco-spain,5.9,4.1,1.62,7.1,3.96,1.57
brazil-south-korea,1.29,5.9,12,1.26,6,13
japan-croatia,4,3.26,2.11,4.2,3.32,2.03
england-senegal,1.56,3.98,7.2,1.54,3.98,7.7
france-poland,1.34,5.4,10,1.29,5.6,13
argentina-australia,1.28,6.2,11,1.18,7.6,19
netherlands-usa,2.04,3.31,4.2,1.85,3.52,4.9
cameroon-brazil,8.5,5.2,1.39,9.4,5.4,1.35
serbia-switzerland,2.55,3.47,2.87,2.77,3.41,2.65
ghana-uruguay,4.33,3.84,1.86,5,3.66,1.8
south-korea-portugal,4.6,3.97,1.78,9.3,5,1.39
costa-rica-germany,21,11,1.12,11,5.6,1.32
japan-spain,7.2,4.7,1.48,10,5.7,1.33
canada-morocco,4.7,3.59,1.86,3.32,3.38,2.31
croatia-belgium,2.79,3.47,2.61,4,3.73,1.95
poland-argentina,8.2,4.6,1.45,5.1,3.85,1.72
saudi-arabia-mexico,5.5,4.3,1.63,6.5,4.2,1.57
australia-denmark,6.5,4.6,1.52,6.6,3.77,1.62
tunisia-france,6.5,4.3,1.56,14,5.9,1.26
iran-usa,4.3,3.55,1.94,3.56,3.45,2.18
wales-england,8.4,4.5,1.45,6.2,4.1,1.6
ecuador-senegal,2.51,3.2,3.14,3,3.25,2.58
netherlands-qatar,1.24,6.8,13,1.32,5.6,11
portugal-uruguay,2.02,3.33,4.3,1.99,3.41,4.2
brazil-switzerland,1.46,4.5,8.2,1.52,4.4,6.7
south-korea-ghana,2.61,3.03,3.15,2.64,2.99,3.11
cameroon-serbia,5.2,3.73,1.76,3.69,3.01,2.32
spain-germany,2.53,3.37,2.96,2.57,3.41,2.82
croatia-canada,2.26,3.31,3.51,1.84,3.62,4.6
belgium-morocco,1.95,3.47,4.4,1.57,4.2,6.2
japan-costa-rica,1.54,4.1,7.4,1.94,3.35,4.6
argentina-mexico,1.5,4.1,8.2,1.7,3.79,5.5
france-denmark,1.85,3.59,4.75,1.89,3.6,4.4
poland-saudi-arabia,1.79,3.52,5.4,1.74,3.8,5.1
tunisia-australia,2.2,3.36,3.61,2.85,3.06,2.8
england-usa,1.49,4.4,7.6,1.72,3.85,5.2
netherlands-ecuador,1.87,3.5,4.8,1.7,3.95,5.1
qatar-senegal,5.7,3.59,1.74,4.33,3.34,1.98
wales-iran,2.13,3.2,4,2.33,3.1,3.61
brazil-serbia,1.45,4.8,7.6,1.48,4.5,7.3
portugal-ghana,1.37,5.3,8.8,1.51,4.2,7.6
uruguay-south-korea,1.75,3.56,5.6,1.78,3.6,5.1
switzerland-cameroon,1.75,3.6,5.6,1.81,3.56,4.9
belgium-canada,1.58,4.3,6,1.29,5.8,12
spain-costa-rica,1.16,8.3,21,1.23,6.4,15
germany-japan,1.49,4.6,6.9,1.36,5.3,9
morocco-croatia,3.77,3.31,2.16,4.9,3.31,1.89
france-australia,1.26,6.6,12,1.19,7.5,17
mexico-poland,2.55,3.02,3.26,2.78,3.16,2.78
denmark-tunisia,1.6,3.84,6.8,1.48,4.2,8.1
argentina-saudi-arabia,1.13,9.8,23,1.18,7.5,19
usa-wales,2.55,3.09,3.19,2.68,3.06,2.99
senegal-netherlands,6.3,3.81,1.64,5.3,3.74,1.73
england-iran,1.38,4.6,11,1.33,5.3,11
qatar-ecuador,3.7,3.12,2.28,3.69,3.34,2.15
