encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.7,3,2.8,2.75,3.1,2.62
croatia-morocco,2.35,3.3,3,2.38,3.25,2.88
france-morocco,1.57,3.9,6,1.52,3.8,7
argentina-croatia,1.95,3,4.6,1.78,3.3,5
england-france,2.75,3,2.75,3.2,3.1,2.38
morocco-portugal,6.5,3.6,1.6,5.5,3.6,1.67
netherlands-argentina,3.5,2.9,2.3,3.5,3.2,2.15
croatia-brazil,8.5,4.4,1.4,8.5,4.33,1.4
portugal-switzerland,2,3.4,3.8,1.85,3.25,4.5
morocco-spain,6.5,3.5,1.62,7.5,3.6,1.53
brazil-south-korea,1.2,6.5,15,1.25,5.5,11
japan-croatia,3.75,3.2,2.1,3.75,3.5,2
england-senegal,1.6,3.5,6.5,1.52,3.8,7
france-poland,1.32,5,9.5,1.29,5.25,11
argentina-australia,1.29,5.5,10,1.2,6,17
netherlands-usa,2,3.1,4.33,1.91,3.3,4.33
cameroon-brazil,8.5,5,1.35,15,6.5,1.2
serbia-switzerland,2.55,3.25,2.75,2.5,3.2,2.88
ghana-uruguay,4.2,3.5,1.85,4.75,3.5,1.78
south-korea-portugal,3.5,3.5,2.05,6,3.9,1.57
costa-rica-germany,17,9,1.12,26,8.5,1.11
japan-spain,7,4.33,1.44,9,4.8,1.35
canada-morocco,5,3.3,1.78,2.88,3.2,2.5
croatia-belgium,2.8,3.2,2.55,2.8,3.3,2.5
poland-argentina,8.5,4.2,1.42,8.5,4.5,1.38
saudi-arabia-mexico,5.25,4,1.62,5,3.75,1.7
australia-denmark,7.5,4.75,1.4,8,4.33,1.42
tunisia-france,9,4.6,1.36,6,3.8,1.57
iran-usa,4.2,3.4,1.91,3.75,3.4,2
wales-england,9.5,4.2,1.4,6,3.75,1.53
ecuador-senegal,2.38,3.1,3.2,2.4,3.2,3
netherlands-qatar,1.2,6.5,13,1.17,7,17
portugal-uruguay,1.88,3.2,4.6,2.15,3.2,3.6
brazil-switzerland,1.47,4,7.5,1.55,3.8,6.5
south-korea-ghana,2.75,3,2.75,2.75,2.75,3
cameroon-serbia,5.5,3.6,1.67,3.4,2.9,2.35
spain-germany,2.5,3.4,2.75,2.6,3.1,2.8
croatia-canada,2.25,3.2,3.3,1.8,3.5,4.6
belgium-morocco,1.88,3.3,4.4,1.6,3.8,6
japan-costa-rica,1.5,3.9,7.5,2.6,2.9,3
argentina-mexico,1.5,3.8,7.5,1.75,3.4,5.25
france-denmark,1.83,3.4,4.6,1.91,3.2,4.4
poland-saudi-arabia,1.85,3.25,4.75,1.67,3.6,5.5
tunisia-australia,2.1,3.1,3.8,2.7,2.88,2.9
england-usa,1.44,4,8.5,1.67,3.6,5.5
netherlands-ecuador,1.8,3.4,4.75,1.67,3.6,5.5
qatar-senegal,5.5,3.4,1.7,3.6,3.2,2.15
wales-iran,2.1,3.1,3.8,2.25,3.1,3.4
brazil-serbia,1.44,4.2,7.5,1.5,4.2,6.5
portugal-ghana,1.3,5.25,10,1.52,3.8,7
uruguay-south-korea,1.78,3.4,5,1.78,3.3,5
switzerland-cameroon,1.78,3.3,5,1.8,3.25,5
belgium-canada,1.57,4,5.8,1.32,4.8,11
spain-costa-rica,1.17,8.5,12,1.35,4.6,9.5
germany-japan,1.47,4.2,7,1.36,4.75,8.5
morocco-croatia,3.9,3.1,2.1,4.5,3.2,1.91
france-australia,1.2,6.5,13,1.2,6,17
mexico-poland,2.55,3,3,2.75,3,2.75
denmark-tunisia,1.55,3.8,6.5,1.5,3.9,7.5
argentina-saudi-arabia,1.11,8.5,26,1.2,6,17
usa-wales,2.45,3,3.1,2.55,3.1,2.9
senegal-netherlands,6,3.5,1.67,5.25,3.4,1.75
england-iran,1.38,4.5,10,1.32,4.8,11
qatar-ecuador,3.5,3,2.25,3.5,3.1,2.2
