encuentro,final_1,final_x,final_2,inicial_0,inicial_x,inicial_1
argentina-france,2.7,3.2,2.85,2.8,3.05,2.75
croatia-morocco,2.28,3.55,3.15,2.38,3.3,3.05
france-morocco,1.62,3.9,6.2,1.55,3.9,6.8
argentina-croatia,1.98,3.15,4.6,1.83,3.3,4.9
england-france,2.8,3.1,2.8,3.1,3.25,2.37
morocco-portugal,6.2,3.9,1.61,5.4,3.65,1.7
netherlands-argentina,3.6,3.15,2.26,3.65,3.25,2.14
croatia-brazil,8.4,4.8,1.41,7.8,4.7,1.41
portugal-switzerland,1.94,3.5,4,1.91,3.45,4.2
morocco-spain,6,3.9,1.63,6.6,3.9,1.56
brazil-south-korea,1.23,6.6,14,1.24,6,13
japan-croatia,3.9,3.3,2.07,4.1,3.45,1.93
england-senegal,1.62,3.75,6.4,1.59,3.55,7.2
france-poland,1.39,4.9,8.8,1.3,5.4,11
argentina-australia,1.3,6.2,9,1.19,6.8,17
netherlands-usa,1.91,3.35,4.6,1.94,3.35,4.2
cameroon-brazil,8.8,5.2,1.36,8.6,5,1.32
serbia-switzerland,2.6,3.35,2.8,2.75,3.3,2.47
ghana-uruguay,4.5,3.85,1.79,4.9,3.45,1.74
south-korea-portugal,4.3,3.9,1.82,7.2,4,1.47
costa-rica-germany,21,11,1.11,11,4.8,1.3
japan-spain,7,4.5,1.48,9,5.2,1.3
canada-morocco,4.8,3.55,1.82,3.2,3.2,2.26
croatia-belgium,2.95,3.4,2.46,3.85,3.55,1.89
poland-argentina,8.6,4.5,1.43,4.5,4.1,1.65
saudi-arabia-mexico,5.4,4.3,1.6,6.2,3.95,1.53
australia-denmark,7.2,4.7,1.45,6.4,3.55,1.58
tunisia-france,6,4,1.6,14,5.6,1.22
iran-usa,4.1,3.5,1.96,3.35,3.3,2.14
wales-england,8.2,4.5,1.43,5.8,3.75,1.59
ecuador-senegal,2.5,3.1,3.15,2.9,3.1,2.48
netherlands-qatar,1.2,7.2,14,1.29,5.2,9.6
portugal-uruguay,1.93,3.35,4.5,2.09,3.25,3.5
brazil-switzerland,1.5,4.3,7.2,1.52,4.1,6
south-korea-ghana,2.75,3.15,2.75,2.65,2.85,2.9
cameroon-serbia,5.2,3.75,1.72,3.35,3.05,2.27
spain-germany,2.49,3.45,2.85,2.55,3.25,2.7
croatia-canada,2.22,3.3,3.5,1.74,3.6,4.6
belgium-morocco,1.87,3.45,4.6,1.55,4,5.6
japan-costa-rica,1.48,4.4,7.4,2.42,3,3.1
argentina-mexico,1.55,4,7,1.72,3.55,4.9
france-denmark,1.79,3.6,4.9,1.88,3.35,4.2
poland-saudi-arabia,1.71,3.65,5.6,1.65,3.7,5.2
tunisia-australia,2.23,3.3,3.5,2.75,2.95,2.65
england-usa,1.48,4.3,7.6,1.66,3.7,5
netherlands-ecuador,1.8,3.45,5.2,1.65,3.7,5
qatar-senegal,5.8,3.65,1.69,3.65,3.25,2.05
wales-iran,2.17,3.2,3.75,2.06,3.25,3.65
brazil-serbia,1.47,4.7,7,1.45,4.2,6.6
portugal-ghana,1.31,5.6,10,1.5,3.85,6.4
uruguay-south-korea,1.76,3.55,5.2,1.78,3.45,4.4
switzerland-cameroon,1.81,3.5,5,1.7,3.45,4.9
belgium-canada,1.57,4.2,6.2,1.33,4.9,8
spain-costa-rica,1.15,8.2,20,1.29,5,10
germany-japan,1.43,4.7,7.8,1.36,4.7,7.6
morocco-croatia,3.55,3.3,2.2,4.2,3.3,1.86
france-australia,1.21,7,15,1.2,7.5,9.5
mexico-poland,2.49,3.15,3.1,2.65,3.05,2.65
denmark-tunisia,1.57,3.9,6.8,1.41,4.3,7.4
argentina-saudi-arabia,1.11,9.8,28,1.22,5.8,12
usa-wales,2.5,3.1,3.15,2.5,3.05,2.9
senegal-netherlands,6,3.6,1.68,4.9,3.55,1.69
england-iran,1.38,4.6,10,1.34,4.6,8.6
qatar-ecuador,3.7,3.15,2.21,3.3,3.2,2.16
